company,added_modified,dollar_amount_float,moneyprize_received,donation_details,year,don_detail_amount,don_detail_txt,dollar_equivalent_amount
ULTRAMAR,2011-01-10,0.0,Yes,Silver - $500 in gas coupons,2011,500.0,silver - in gas coupons,500.0
FRIENDS OF TROUSER LAKE,2011-01-16,500.0,Mike paid printing with it,500,2011,,,500.0
SUNDAY NIGHT CURLING,2011-01-16,500.0,Mike paid printing with it,500,2011,,,500.0
THISTLE,2011-01-24,500.0,Yes,$500 Silver Sponsor,2011,500.0, silver sponsor,500.0
ETFS,2011-01-24,500.0,yes,$500 Silver Sponsor,2011,500.0, silver sponsor,500.0
COLDWATER,2011-01-26,500.0,Yes,Silver,2011,,silver,500.0
LORNE STEINBERG WEALTH MANAGEMENT,2011-01-29,500.0,Yes,Silver - $500,2011,500.0,silver - ,500.0
ERNEST,2011-01-29,1000.0,Yes,$1000 between Gold and Silver,2011,1000.0, between gold and silver,1000.0
BOVET,2011-01-29,500.0,Yes,Silver,2011,,silver,500.0
SIGNOR TERRY,2011-01-29,500.0,No,Silver,2011,,silver,500.0
ARTISTIC,2011-02-05,0.0,,Promotional items,2011,,promotional items,0.0
LERNER PROMOTIONS,2011-02-05,0.0,,Promotional Considerations,2011,,promotional considerations,0.0
AUBRY,2011-02-05,0.0,,raffle tickets,2011,,raffle tickets,0.0
MR GRAPHIQUES,2011-02-05,0.0,,booklet,2011,,booklet,0.0
MOMENTS PHOTOGRAPHY,2011-02-05,0.0,Yes,Promotional items,2011,,promotional items,0.0
DRILLMEX,2011-02-04,500.0,Yes,Silver,2011,,silver,500.0
ADVANCED DYNAMICS,,500.0,Yes,$500 Silver Sponsor,2011,500.0, silver sponsor,500.0
CORBEC,,7000.0,Yes,,2011,,,7000.0
SUPERIOR ALLOY,2011-02-15,500.0,Yes,Silver,2011,,silver,500.0
HARDLINE CURLING,2011-02-16,0.0,Yes,3 Carbon fibre brooms + 12 gloves,2011,,3 carbon fibre brooms + 12 gloves,0.0
VIC S MARKET DRAGON KITCHEN,2011-02-22,0.0,Yes,Catered dinner for 6 door prize for RMCC,2011,,catered dinner for 6 door prize for rmcc,0.0
BMA,2011-02-22,500.0,Yes,Corporate team,2011,,corporate team,500.0
CP,2011-02-24,5000.0,Yes,$5000 Platinum,2011,5000.0, platinum,5000.0
PERFORMANCE BROOMS,2011-02-24,0.0,Yes,11 brooms,2011,,11 brooms,0.0
TROPHEE POINTE CLAIRE,2011-02-25,0.0,,trophies,2011,,trophies,0.0
SISCA GARY CHUTE,2011-02-25,0.0,,book binding collating,2011,,book binding collating,0.0
VANDERZON,2011-02-28,500.0,No,Silver $500,2011,500.0,silver ,500.0
OLSON CURLING,2011-02-28,0.0,Yes,curling equipment,2011,,curling equipment,0.0
CN,2011-03-12,500.0,Yes,$500 Silver Sponsor,2011,500.0, silver sponsor,500.0
BMO HARRIS PRIVATE BANKING,2011-03-12,500.0,Yes,$500 Silver Sponsor,2011,500.0, silver sponsor,500.0
EXPOS,2011-01-16,0.0,Yes,12 Denis Boucher signed baseballs,2011,,12 denis boucher signed baseballs,0.0
FMRS,2011-01-18,400.0,Yes,$400 sponsorship,2011,400.0, sponsorship,400.0
ROSCAN ERA GROUP,2011-01-19,0.0,Yes,$425 in prizes,2011,425.0, in prizes,425.0
WOMEN S PARTICIPATION GROUP C O MARIA LENA AUCLAIR,2011-01-19,50.0,Yes,50,2011,,,50.0
BMR OSTIGUY FRERES,2011-01-19,0.0,Yes,Habs tix - in exchange for 1/2 page ad,2011,,habs tix - in exchange for 1/2 page ad,0.0
PEERLESS ALVIN SEGAL FOUNDATION,2011-01-29,200.0,Yes,$200 1/4 page ad,2011,200.0, 1/4 page ad,200.0
CITY OF DORVAL,2011-02-05,300.0,Yes,$300 1/2 page ad,2011,300.0, 1/2 page ad,300.0
SLEEMAN UNIBROUE INC,2011-02-05,0.0,Yes,8 cases of specialty beer,2011,,8 cases of specialty beer,0.0
ENVIROMARK,2011-02-08,100.0,Yes,$100 business card,2011,100.0, business card,100.0
