company,added_modified,dollar_amount_float,moneyprize_received,donation_details,year,don_detail_amount,don_detail_txt,dollar_equivalent_amount
ROYAL ENVELOPE,2015-04-03,0.0,,250 advertisement to offset some of the cost of the envelopes 1/2 page ad,2015,,250 advertisement to offset some of the cost of the envelopes 1/2 page ad,0.0
SLEEMAN UNIBROUE INC,2015-04-03,0.0,Yes,8 cases of specialty beer (bonus prizes),2015,,8 cases of specialty beer (bonus prizes),0.0
CP,2015-11-03,1500.0,Yes,$1500 donation,2015,1500.0, donation,1500.0
AUBRY,2015-11-03,0.0,,For printing considerations,2015,,for printing considerations,0.0
EBM,2015-03-17,0.0,,$500 donated to pay for Bruno supper,2015,500.0, donated to pay for bruno supper,500.0
DENIS DUBOURGUAIS ARTISTE PEINTRE,2015-04-04,0.0,, Une peinture,2015,, une peinture,0.0
EVENKO,2015-04-04,0.0,,Une paire de billet - Philippe Bond (100$),2015,,une paire de billet - philippe bond (100$),0.0
MICROBRASSERIE LE TROU DU DIABLE,2015-04-04,0.0,,Deux ensemble de dégustation de bière (60 $),2015,,deux ensemble de dégustation de bière (60 $),0.0
E VAGUE,2015-08-17,0.0,,Deux CD de Pascale Picard ($35),2015,35.0,deux cd de pascale picard (),35.0
AGENCE SPM,2015-08-17,0.0,,Paire de billets pour le spectacle de Jean-Thomas Jobin ($60),2015,60.0,paire de billets pour le spectacle de jean-thomas jobin (),60.0
ARCHAMBAULT,2015-08-17,0.0,,"Livres, Jeau et Jouets ($100)",2015,100.0,"livres, jeau et jouets ()",100.0
AVANTI CINE VIDEO,2015-08-17,0.0,,Une Paire de billets - Cathy Gauthier ($80),2015,80.0,une paire de billets - cathy gauthier (),80.0
AVANTI CINE VIDEO,2015-08-17,0.0,,Une paire des billets - Dominic et martin ($80),2015,80.0,une paire des billets - dominic et martin (),80.0
AVANTI CINE VIDEO,2015-08-17,0.0,,Une Paire de billets - Jean-Francois Mercier ($100),2015,100.0,une paire de billets - jean-francois mercier (),100.0
AZIMUT DIFFUSION,2015-08-17,0.0,,Une paire de billets de spectacle ($80),2015,80.0,une paire de billets de spectacle (),80.0
IMPRIMERIE REFLET,2015-08-17,0.0,,No product indicated,2015,,no product indicated,0.0
BOULEVARD MUSIQUE,2014-02-28,0.0,,Verres décoratif et sac ($80),2015,80.0,verres décoratif et sac (),80.0
BOUTIQUE CONNIVENCE,2015-08-17,0.0,,Foulard ($35),2015,35.0,foulard (),35.0
BOUTIQUE KOKETTE,2015-08-17,0.0,,Certificats Cadeau de (2x$25),2015,25.0,certificats cadeau de (2x),25.0
LARAMEE ET FILS,2015-08-17,0.0,,2 certificate cadeau $50 ($100),2015,50.0,2 certificate cadeau ($100),50.0
BUROPRO CITATION BELOEIL,2015-08-17,0.0,,"jeux, jouets, livres ($75)",2015,75.0,"jeux, jouets, livres ()",75.0
CAFE ENTRAMIS,2015-08-17,0.0,,Certifcats Cadeaux ($100),2015,100.0,certifcats cadeaux (),100.0
CAFE ST THOMAS,2015-08-17,0.0,,Certificats Cadeau de ($25),2015,25.0,certificats cadeau de (),25.0
CAMILLE BEAUMIER SYLVIANE BEAUREGARD,2015-08-17,0.0,,Coffret de cinq romans de la serie Ouate de phoque ($120),2015,120.0,coffret de cinq romans de la serie ouate de phoque (),120.0
CENTRE GERVAIS,2015-08-17,0.0,,4 certifcats de trois partie de quilles ($50),2015,50.0,4 certifcats de trois partie de quilles (),50.0
CHEZ CORAFELI MAGASIN DE JOUETS,2015-08-17,0.0,,Paniers Cadeaux ($150),2015,150.0,paniers cadeaux (),150.0
COIFFURE CHANTAL LEMOINE,2015-08-17,0.0,,2 certificate cadeau $40 ($80),2015,40.0,2 certificate cadeau ($80),40.0
DEUX GARS DES FLEURS,2015-08-17,0.0,,arrangement décoratif ($50),2015,50.0,arrangement décoratif (),50.0
DISTINGO RESTO PUB BAR,2015-08-17,0.0,,Deux certificat-cadeaux de $25,2015,25.0,deux certificat-cadeaux de ,25.0
DEPANNEUR BERNARD,2015-08-17,0.0,,Carte cadeaux pour lavage de voiture ($100),2015,100.0,carte cadeaux pour lavage de voiture (),100.0
EMPIRE,2015-08-17,0.0,,"Planche de skateboard, ceinture, casquettes, tuque ($200)",2015,200.0,"planche de skateboard, ceinture, casquettes, tuque ()",200.0
ENERGIE CARDIO,2015-08-17,0.0,,Abonnement - gym 3 mois ($200),2015,200.0,abonnement - gym 3 mois (),200.0
F FARHAT LUNETTERIE,2015-08-17,0.0,,Monture solaire pour enfant et un kit de nettoyage ($75),2015,75.0,monture solaire pour enfant et un kit de nettoyage (),75.0
GROUPE VILLE MARIE LITTERATURE,2015-08-17,0.0,,10 livres de l'auteur Simon Boulerice,2015,,10 livres de l'auteur simon boulerice,0.0
IKEA MONTREAL,2015-08-17,0.0,,Carte cadeau ($100),2015,100.0,carte cadeau (),100.0
IMPRIMERIE MONGEON ET FILS,2015-08-17,0.0,,Impression des menus et brochures ($100),2015,100.0,impression des menus et brochures (),100.0
JEAN GUY POIRIER GOLF,2015-08-17,0.0,,Sac de Golf ($100),2015,100.0,sac de golf (),100.0
,2015-08-17,0.0,,Trois livres ($100),2015,100.0,trois livres (),100.0
KETTO,2015-08-17,0.0,,"Boite, Sac, Articles de Papetrie, verre, gobelet ($200)",2015,200.0,"boite, sac, articles de papetrie, verre, gobelet ()",200.0
KINO GYM ATOUT,2015-08-17,0.0,,deaux Abonnement é 1 mois ($100),2015,100.0,deaux abonnement é 1 mois (),100.0
LA TRIBU,2015-08-17,0.0,,Disques CD des Cowboys Fringanats ($35),2015,35.0,disques cd des cowboys fringanats (),35.0
PRODUCTIONS MARTIN DESCHAMPS,2015-08-17,0.0,,6 billets pour spectacle Leboeuf Deschamps ($240),2015,240.0,6 billets pour spectacle leboeuf deschamps (),240.0
LES DISQUES VICTOIRE,2015-08-17,0.0,,Deux disques CD de Mes Aieux ($35),2015,35.0,deux disques cd de mes aieux (),35.0
LES EDITIONS LES MALINS,2015-08-17,0.0,,10 livres de l'auteur Simon Boulerice,2015,,10 livres de l'auteur simon boulerice,0.0
LES EDITIONS QUEBEC AMERIQUE,2015-08-17,0.0,,Romans de Simon Boulerice ($100),2015,100.0,romans de simon boulerice (),100.0
LES TIRE BOUCHONS RESTOBAR,2015-08-17,0.0,,1 certificats cadeaux ($50),2015,50.0,1 certificats cadeaux (),50.0
EPERVIERS DE SOREL TRACY,2015-08-17,0.0,,Materials promotionnels,2015,,materials promotionnels,0.0
LOGITECK,2015-08-17,0.0,,"Souris sans-fil, clé usb, sac pour portable ($100)",2015,100.0,"souris sans-fil, clé usb, sac pour portable ()",100.0
LOIS JEANS,2015-08-17,0.0,,2 certificat cadeaux pour paire de jeans ($150),2015,150.0,2 certificat cadeaux pour paire de jeans (),150.0
MARIE LINGERIE,2015-08-17,0.0,,Robe de Chambre ($45),2015,45.0,robe de chambre (),45.0
MCDONALD S,2015-08-17,0.0,,10 trio ($100),2015,100.0,10 trio (),100.0
METRO TRACY ALIMENTATION SYLVAIN BRIERE,2015-08-17,0.0,,Certificat cadeau ($100),2015,100.0,certificat cadeau (),100.0
,2015-08-17,0.0,,Table de l'artiste Michel Bruneau ($175),2015,175.0,table de l'artiste michel bruneau (),175.0
NICOLETTI PNEU ET MECANIQUE,2015-08-17,0.0,,3 certificat de $20,2015,20.0,3 certificat de ,20.0
,2015-08-17,0.0,,10 livres de L'auteur Pauline Gill,2015,,10 livres de l'auteur pauline gill,0.0
PERRO EDITEUR,2015-08-17,0.0,,10 livres de Perro-Éditeur,2015,,10 livres de perro-éditeur,0.0
PHARMACIE BRUNET,2015-08-17,0.0,,4 paniers de $85 chaque  ,2015,85.0,4 paniers de chaque ,85.0
PRODUCTIONS AUTREMENT,2015-08-17,0.0,,Disques CD de Pierre Lapointe ($35),2015,35.0,disques cd de pierre lapointe (),35.0
PRODUCTIONS J,2015-08-17,0.0,,Deux paires de billets pour le spectacles d'Emmanuel Bilodeau ($220),2015,220.0,deux paires de billets pour le spectacles d'emmanuel bilodeau (),220.0
RESTAURANT LE FOUGASSE,2015-08-17,0.0,,certificat cadeau ($50),2015,50.0,certificat cadeau (),50.0
RESTAURANT SAI WOO,2015-08-17,0.0,,certificat cadeau ($15),2015,15.0,certificat cadeau (),15.0
SERVICE DE SECURITE INCENDIE DE SOREL TRACY,2015-08-17,0.0,,Visite de pompiers de Sorel-Tracy,2015,,visite de pompiers de sorel-tracy,0.0
STATION SERVICE ET DEPANNEUR SHELL,2015-08-17,0.0,,Carte Cadeau ($25),2015,25.0,carte cadeau (),25.0
SONIA MARMEN,2015-08-17,0.0,,4 romans,2015,,4 romans,0.0
SONYA LIVERNOCHE,2015-08-17,0.0,,Bijoux et deux peintures ($250),2015,250.0,bijoux et deux peintures (),250.0
THEATRE DU CHENAL DU MOINE,2015-08-17,0.0,,Deaux pairs de billets pour les spectacles de Mesmer et Mario Jean ($200),2015,200.0,deaux pairs de billets pour les spectacles de mesmer et mario jean (),200.0
BIOPHARE,2015-08-17,0.0,,12 randonnées nature dans l'archipel du lac Sainte-Pierre ($500),2015,500.0,12 randonnées nature dans l'archipel du lac sainte-pierre (),500.0
CANADIAN TIRE,2015-08-17,0.0,,Velo pour adolescent ($280),2015,280.0,velo pour adolescent (),280.0
LES PRODUCTIONS BOTTES DE FOIN,2015-08-17,0.0,,Spectacle musical pour enfants - ,2015,,spectacle musical pour enfants - ,0.0
DARE,2015-08-17,0.0,,Biscuits - pattes d'ours ($200),2015,200.0,biscuits - pattes d'ours (),200.0
DECALCO DESIGN,2015-08-17,0.0,,Lettrage de 2 voitures ($290),2015,290.0,lettrage de 2 voitures (),290.0
FESTIVAL WESTERN DE ST TITE,2015-08-17,0.0,,3 paires de billet pour la final du rodéo ($300),2015,300.0,3 paires de billet pour la final du rodéo (),300.0
GOLF CONTINENTAL,2015-08-17,0.0,,7 driots de jeau ($300),2015,300.0,7 driots de jeau (),300.0
LES INTEMPORELS,2015-08-17,0.0,,Spectacle - Les Intemporels,2015,,spectacle - les intemporels,0.0
JULIE TURGEON,2015-08-17,0.0,,Spectacle de Kiève Antaya,2015,,spectacle de kiève antaya,0.0
MAXI,2015-08-17,0.0,,Nourriture pour le dîner hot-dog et le 5 à 7 ($500),2015,500.0,nourriture pour le dîner hot-dog et le 5 à 7 (),500.0
MEDIA CLICHE,2015-08-17,0.0,,Photographe lors de l'evenement,2015,,photographe lors de l'evenement,0.0
MELOPEE CROISEE,2015-08-17,0.0,,Spectacle Musical  ,2015,,spectacle musical ,0.0
MONDE DE GINA,2015-08-17,0.0,,Spectacle pour enfants,2015,,spectacle pour enfants,0.0
MONSIEUR BEMOL,2015-08-17,0.0,,Spectacle musical pour enfants - Monsieur Bémol,2015,,spectacle musical pour enfants - monsieur bémol,0.0
OASIS SURF,2015-08-17,0.0,,2 Séances d'initiation au surf + repas ($250),2015,250.0,2 séances d'initiation au surf + repas (),250.0
OLA,2015-08-17,0.0,,Traiteur pour le souper - repas Vietnamien,2015,,traiteur pour le souper - repas vietnamien,0.0
SPORTS EXPERTS,2015-08-17,0.0,,Longboard ($200),2015,200.0,longboard (),200.0
TIM HORTON S,2015-08-17,0.0,,"Dejeuner:  Beignes, cafes, chocolats chauds",2015,,"dejeuner: beignes, cafes, chocolats chauds",0.0
ZONE,2015-08-17,0.0,,6 billets de spectacles + 4 cd de Marc Hervieux ($496),2015,496.0,6 billets de spectacles + 4 cd de marc hervieux (),496.0
WESTDENT,2015-08-17,0.0,,Porte Parole Sorel Tracy,2015,,porte parole sorel tracy,0.0
GLOBAL EXCEL,2015-08-17,0.0,,"Golf Shirts, Umbrella's, BBQ set",2015,,"golf shirts, umbrella's, bbq set",0.0
GOLDEN LION PUB,2015-08-17,0.0,,4 Jugs of Beer ($100),2015,100.0,4 jugs of beer (),100.0
DELTA,2015-10-19,0.0,No,Roundtrip for 2 to Europe,2016,,roundtrip for 2 to europe,0.0
AIR FRANCE,2015-10-19,0.0,No,Roundtrip for 2 to Europe,2016,,roundtrip for 2 to europe,0.0
WESTJET,2015-10-19,0.0,No,Roundtrip for two to any WestJet destination,2016,,roundtrip for two to any westjet destination,0.0
SUNDAY CURLING GANG,2015-09-26,4197.0,Yes,Donation of funds from golf tourney,2016,,donation of funds from golf tourney,4197.0
FONDATION BBB,2015-10-19,5000.0,Yes,$5000 donation,2016,5000.0, donation,5000.0
FMRS,2015-10-19,500.0,Yes,$500 donation,2016,500.0, donation,500.0
LES AUTOBUS BEAUREGARD,2015-11-14,100.0,Yes,business card ad,2016,,business card ad,100.0
RBC,2015-11-14,500.0,Yes,$500 donation,2016,500.0, donation,500.0
MCHEF,2015-11-24,0.0,No,Discount on Chef supper raffle prize,2016,,discount on chef supper raffle prize,0.0
CN RAILROADERS IN THE COMMUNITY,2015-12-01,1750.0,Yes,"$1750 Grant for John's, Jeanny's and Robert Dods volunteer work",2016,1750.0," grant for john's, jeanny's and robert dods volunteer work",1750.0
CN,2015-12-01,1750.0,Yes,"$1750 Grant for John's, Jeanny's and Robert Dods volunteer work",2016,1750.0," grant for john's, jeanny's and robert dods volunteer work",1750.0
CN RAILROADERS IN THE COMMUNITY,2015-12-01,1000.0,Yes,$1000 Grant for John'sRefer a CN Friend,2016,1000.0, grant for john'srefer a cn friend,1000.0
CN,2015-12-01,1000.0,Yes,$1000 Grant for John'sRefer a CN Friend,2016,1000.0, grant for john'srefer a cn friend,1000.0
DR ANNE WEARY INC,2015-11-05,200.0,Yes,$200 1/4 page ad,2016,200.0, 1/4 page ad,200.0
EQUIPEMENTS TWIN,2015-12-30,500.0,Yes,$500 donation,2016,500.0, donation,500.0
THE ROSSY FAMILY FOUNDATION,2015-12-30,2000.0,Yes,$2000 donation,2016,2000.0, donation,2000.0
THISTLE,2015-12-20,1000.0,Yes,$1000 Bronze sponsorship,2016,1000.0, bronze sponsorship,1000.0
BDO,2016-01-07,0.0,,reduced accounting fees,2016,,reduced accounting fees,0.0
FABRICVILLE,2016-01-09,500.0,Yes,confirmed k4k friend,2016,,confirmed k4k friend,500.0
PERFORMANCE BROOMS,2016-01-09,0.0,No,11 brooms?,2016,,11 brooms?,0.0
IMPRIMERIE MARION INC,2016-01-09,0.0,,For printing considerations,2016,,for printing considerations,0.0
AUBRY,2016-01-09,0.0,,For printing considerations,2016,,for printing considerations,0.0
HARDLINE CURLING,2016-01-09,0.0,,Longtime sponsor,2016,,longtime sponsor,0.0
PERRO LIBRAIRE,2016-01-18,0.0,Yes,"Donation of $5,000 in books (which they will try to resell)",2016,5000.0,donation of in books (which they will try to resell),5000.0
BMA,2016-01-20,2000.0,Yes,Corporate team,2016,,corporate team,2000.0
REDACTION JO HOWARD EDITING,2016-01-21,100.0,Yes,$100 Busines card,2016,100.0, busines card,100.0
BMR OSTIGUY FRERES,2016-01-21,0.0,Yes,Raffle prize - 1/4 page ad,2016,,raffle prize - 1/4 page ad,0.0
FRIENDS OF TROUSER LAKE,2016-01-24,100.0,Yes,$100 Busines card,2016,100.0, busines card,100.0
PROMAX COMBUSTION INC,2016-01-30,2000.0,Yes,Corporate team,2016,,corporate team,2000.0
MARVIN A DRIMER FOUNDATION,2016-02-04,2000.0,No,Corporate team,2016,,corporate team,2000.0
WESTDENT,2016-02-14,100.0,Yes,business card ad,2016,,business card ad,100.0
OK PNEUS BELOEIL ST HILAIRE,2016-02-14,100.0,Yes,business card ad,2016,,business card ad,100.0
M L FORAND COURTIERS D ASSURANCE,2016-02-14,200.0,Yes,$200 1/4 page ad,2016,200.0, 1/4 page ad,200.0
DRILLMEX,2016-02-16,500.0,Yes,$500 donation,2016,500.0, donation,500.0
DRILLMEX INC,2016-02-16,500.0,Yes,$500 donation,2016,500.0, donation,500.0
MCOUAT GROUP,2016-02-20,500.0,Yes,$500 donation,2016,500.0, donation,500.0
ACTION SPORT PHYSIO,2016-02-20,100.0,Yes,business card ad,2016,,business card ad,100.0
CM IMAGES,2016-02-27,0.0,Yes,photo booth donation to Lachine,2016,,photo booth donation to lachine,0.0
MAKEUP BY VICTORIA TIFFANY,2016-02-27,0.0,Yes,Bonus prize???,2016,,bonus prize???,0.0
LANDR,2016-02-27,200.0,Yes,$200 1/4 page ad,2016,200.0, 1/4 page ad,200.0
LORNE STEINBERG WEALTH MANAGEMENT,2016-02-29,1000.0,No,$1000 donation,2016,1000.0, donation,1000.0
DENSI CORPORATION,2016-02-29,500.0,Yes,$500 donation,2016,500.0, donation,500.0
GLOBAL EXCEL,2016-02-29,200.0,Yes,$200 1/4 page ad,2016,200.0, 1/4 page ad,200.0
SYLVAIN ROCHON DEPUTE DE RICHELIEU,2016-03-02,300.0,No,$300 1/2 page ad,2016,300.0, 1/2 page ad,300.0
CAISSE DESJARDINS RICHELIEU SAINT MATHIAS,2016-03-02,200.0,Yes,$200 1/4 page ad,2016,200.0, 1/4 page ad,200.0
LES MARCHES PEPIN,2016-03-02,0.0,Yes,1/4 page ad,2016,,1/4 page ad,0.0
LES CHAUSSURES LA BARRE,2016-03-03,200.0,Yes,$200 1/4 page ad,2016,200.0, 1/4 page ad,200.0
CLARET ASSET MANAGEMENT CORP,2016-03-04,2000.0,Yes,Corporate team,2016,,corporate team,2000.0
ENVIROMARK,2016-03-05,100.0,Yes,business card,2016,,business card,100.0
SOUDURE FLF INC,2016-03-05,1000.0,Yes,$1000 donation,2016,1000.0, donation,1000.0
LOUIS PLAMONDON DEPUTE,2016-03-05,100.0,Yes,business card,2016,,business card,100.0
SOREL TRACY BAR B Q,2016-03-05,100.0,Yes,business card ad,2016,,business card ad,100.0
STEEVE DIAMOND,2016-03-05,0.0,Yes,1/4 page ad,2016,,1/4 page ad,0.0
VILLE DE SOREL TRACY,2016-03-05,1000.0,Yes,$1000 donation,2016,1000.0, donation,1000.0
MAPLE LEAF FOODS,2016-03-05,0.0,,Hot dogs for Mont Bruno,2016,,hot dogs for mont bruno,0.0
WESTON,2016-03-05,0.0,,Hot dog buns for Mont Bruno,2016,,hot dog buns for mont bruno,0.0
SUN WAH,2016-03-05,0.0,,Gift certificates for Mont Bruno,2016,,gift certificates for mont bruno,0.0
LASSONDE,2016-03-05,0.0,,juices for Mont Bruno,2016,,juices for mont bruno,0.0
DR MAURICE TAPIERO,2016-03-05,200.0,Yes,1/4 page ad,2016,,1/4 page ad,200.0
CHOCOLAT BELGE HEYEZ,2016-03-05,0.0,Yes,Panier gourmet,2016,,panier gourmet,0.0
CHAUSSURES CLASSICO,2016-03-05,0.0,Yes,Sac a main $109.99,2016,109.99,sac a main ,109.99
BOUCHERIE POISSONNERIE RICHARD,2016-03-05,0.0,Yes,Viande pour le souper,2016,,viande pour le souper,0.0
MAD SCIENCE,2016-03-05,0.0,Yes,Bday gift certificate and show at MBCC,2016,,bday gift certificate and show at mbcc,0.0
EBM,2016-03-05,0.0,,"Toshiba 33"" TV used for Mont Bruno raffle",2016,,"toshiba 33"" tv used for mont bruno raffle",0.0
ROYAL ENVELOPE,2016-03-07,0.0,,250 advertisement to offset some of the cost of the envelopes 1/2 page ad,2016,,250 advertisement to offset some of the cost of the envelopes 1/2 page ad,0.0
J R LEVAGE INC,2016-03-07,200.0,Yes,$200 1/4 page ad,2016,200.0, 1/4 page ad,200.0
PHARMAPRIX,2016-03-07,200.0,No,$200 1/4 page ad,2016,200.0, 1/4 page ad,200.0
DELMAR INTERNATIONAL INC,2016-03-10,2000.0,Yes,Corporate team,2016,,corporate team,2000.0
E VAGUE,2016-06-06,0.0,Yes,2 Tickets for Qwartz,2016,,2 tickets for qwartz,0.0
ARCHAMBAULT,2016-06-06,0.0,,"Livres, Jeau et Jouets ($100)",2016,100.0,"livres, jeau et jouets ()",100.0
ARETE MISS,2016-06-06,0.0,,Tuques et foulards,2016,,tuques et foulards,0.0
AZIMUT DIFFUSION,2016-06-06,0.0,,Une paire de billets de spectacle ($65),2016,65.0,une paire de billets de spectacle (),65.0
BOULE DE GOMME ET CIE,2016-06-06,0.0,,Ensemble douillette (230$),2016,,ensemble douillette (230$),0.0
BOULEVARD MUSIQUE,2016-06-06,0.0,,Haut-parleur Bluethooth (70$),2016,,haut-parleur bluethooth (70$),0.0
MARIE LINGERIE,2016-06-06,0.0,,Robe de Chambre ($60),2016,60.0,robe de chambre (),60.0
BOUTIQUE CONNIVENCE,2016-06-06,0.0,,Foulard ($20),2016,20.0,foulard (),20.0
BOUTIQUE KOKETTE,2016-06-06,0.0,,Certificats Cadeau de (2x$50),2016,50.0,certificats cadeau de (2x),50.0
LARAMEE ET FILS,2016-06-06,0.0,,2 certificate cadeau $50 ($100),2016,50.0,2 certificate cadeau ($100),50.0
BULLE BIJOUTERIE POUR MAMANS,2016-06-06,0.0,,Colliers et attaches à suces (50$),2016,,colliers et attaches à suces (50$),0.0
CACHE A L EAU,2016-06-06,0.0,,4 entrées (60$),2016,,4 entrées (60$),0.0
CAFE ENTRAMIS,2016-06-06,0.0,,Certifcats Cadeaux ($50),2016,50.0,certifcats cadeaux (),50.0
CAFE ST THOMAS,2016-06-06,0.0,,Certificats Cadeau de ($25),2016,25.0,certificats cadeau de (),25.0
CAMILLE BEAUMIER SYLVIANE BEAUREGARD,2016-06-06,0.0,,Quatre romans de la série Ouate de phoque (100 $),2016,,quatre romans de la série ouate de phoque (100 $),0.0
CAMPING HO,2016-06-06,0.0,,4 entrées (120$),2016,,4 entrées (120$),0.0
CANYON ESCALADE,2016-06-06,0.0,,6 entrées gratuites (90$),2016,,6 entrées gratuites (90$),0.0
CHEZ CORAFELI MAGASIN DE JOUETS,2016-06-06,0.0,,2 certificats valeur 25 $ (50 $),2016,,2 certificats valeur 25 $ (50 $),0.0
CHOCUP CANADA,2016-06-06,0.0,,"5 romans, 3 kits Chocup (185 $)",2016,,"5 romans, 3 kits chocup (185 $)",0.0
COIFFURE CHANTAL LEMOINE,2016-06-06,0.0,,"3 certificat-cadeau 40 $ chaque (120$), 3 paniers cadeaux 40 $ chaque (120$)",2016,,"3 certificat-cadeau 40 $ chaque (120$), 3 paniers cadeaux 40 $ chaque (120$)",0.0
LES CONFECTIONS CHRILA,2016-06-07,0.0,,????,2016,,????,0.0
DANIELLE ROY ARTISTE PEINTRE,2016-06-07,0.0,,Une Toile,2016,,une toile,0.0
DENISE LABRIE,2016-06-07,0.0,,Tricoteuse (service),2016,,tricoteuse (service),0.0
DEPANNEUR BERNARD,2016-06-07,0.0,,Carte cadeaux pour lavage de voiture ($100),2016,100.0,carte cadeaux pour lavage de voiture (),100.0
DIRECTION VERT,2016-06-07,0.0,,"Sacs et vêtements (100$), Impression de logo sur tabliers, sacs (250$)",2016,,"sacs et vêtements (100$), impression de logo sur tabliers, sacs (250$)",0.0
DISTINGO RESTO PUB BAR,2016-06-07,0.0,,Deux certificat-cadeaux de $25,2016,25.0,deux certificat-cadeaux de ,25.0
DOMAINE COQUELICOTS,2016-06-07,0.0,,2 paniers de produits (80$),2016,,2 paniers de produits (80$),0.0
EMILIE VANDAL,2016-06-07,0.0,,Tricoteuse (service),2016,,tricoteuse (service),0.0
ENERGIE CARDIO,2016-06-07,0.0,,Abonnement - gym 3 mois ($215),2016,215.0,abonnement - gym 3 mois (),215.0
F FARHAT LUNETTERIE,2016-06-07,0.0,,Monture solaire pour enfant et un kit de nettoyage ($75),2016,75.0,monture solaire pour enfant et un kit de nettoyage (),75.0
FRANCE COTE,2016-06-07,0.0,,Tricoteuse de pantoufle,2016,,tricoteuse de pantoufle,0.0
GROUPE ANIM ACTIONS,2016-06-07,0.0,,Service de son et lumière pour le spectacle de Steeve Diamond (200$),2016,,service de son et lumière pour le spectacle de steeve diamond (200$),0.0
IKEA MONTREAL,2016-06-07,0.0,,Carte cadeau 4x$50 ($200),2016,50.0,carte cadeau 4x ($200),50.0
IMPRIMERIE MONGEON ET FILS,2016-06-07,0.0,,Impression des menus et brochures ($100),2016,100.0,impression des menus et brochures (),100.0
JEAN GUY POIRIER GOLF,2016-06-07,0.0,,2 parapluies et 2 casquettes (75$),2016,,2 parapluies et 2 casquettes (75$),0.0
IRVIN BLAIS,2016-06-07,0.0,,2 CD (40$),2016,,2 cd (40$),0.0
COTE PRODUCTIONS,2016-06-07,0.0,,5 cd autographiés (100$),2016,,5 cd autographiés (100$),0.0
JOSIE D ARTISTE,2016-06-07,0.0,,2 bracelets (90$),2016,,2 bracelets (90$),0.0
KETTO,2016-06-07,0.0,,"Boite, Sac, Articles de Papetrie, verre, gobelet ($85)",2016,85.0,"boite, sac, articles de papetrie, verre, gobelet ()",85.0
KINO GYM ATOUT,2016-06-07,0.0,,Abonnement é 1 mois ($90),2016,90.0,abonnement é 1 mois (),90.0
LA PATTE DE VELOURS,2016-06-09,0.0,,Certificat-cadeau (25$),2016,,certificat-cadeau (25$),0.0
LES LAINE BISCOTTES,2016-06-09,0.0,,Don de laine pour les torchons,2016,,don de laine pour les torchons,0.0
LEO ET PIROUETTE,2016-06-09,0.0,,"Manteau, tuque et foulard pour enfant (210$)",2016,,"manteau, tuque et foulard pour enfant (210$)",0.0
LES EDITIONS LES MALINS,2016-06-10,0.0,,10 livres de l'auteur Simon Boulerice (117$,2016,,10 livres de l'auteur simon boulerice (117$,0.0
EPERVIERS DE SOREL TRACY,2016-06-10,0.0,,Matériels promotionnels (125$),2016,,matériels promotionnels (125$),0.0
LES TIRE BOUCHONS RESTOBAR,2016-06-10,0.0,,1 certificats cadeaux ($50),2016,50.0,1 certificats cadeaux (),50.0
LILIANE PELOQUIN,2016-06-10,0.0,,Toile (240$),2016,,toile (240$),0.0
LINGERIE FROU FROU,2016-06-10,0.0,,Certifiat (40$),2016,,certifiat (40$),0.0
LOIS JEANS,2016-06-10,0.0,,2 certificat cadeaux pour paire de jeans ($150),2016,150.0,2 certificat cadeaux pour paire de jeans (),150.0
LOLIKO,2016-06-10,0.0,,2 attaches à suce 2 carnets (90$),2016,,2 attaches à suce 2 carnets (90$),0.0
MARIE CLAUDE LEBRUN,2016-06-10,0.0,,Confection de Bonhomme,2016,,confection de bonhomme,0.0
MCDONALD S,2016-06-10,0.0,,10 trio ($100),2016,100.0,10 trio (),100.0
METRO TRACY ALIMENTATION SYLVAIN BRIERE,2016-06-10,0.0,,Carte cadeau ($100),2016,100.0,carte cadeau (),100.0
MICHELE RICHARD CHANTEUSE,2016-06-10,0.0,,Cd double autographié (35 $),2016,,cd double autographié (35 $),0.0
NETTOYAGE MODERNE J ABBOTT INC,2016-06-10,0.0,,Sacoche et foulard (60$),2016,,sacoche et foulard (60$),0.0
NICOLETTI PNEU ET MECANIQUE,2016-06-10,0.0,,4 certificats,2016,,4 certificats,0.0
OASIS SURF,2016-06-10,0.0,,2 certficat - initiation Surf and Turf (170$),2016,,2 certficat - initiation surf and turf (170$),0.0
,2016-06-10,0.0,,3 livres pour enfants (35$),2016,,3 livres pour enfants (35$),0.0
,2016-06-11,0.0,,Paire de billets pour le Canadien de MTL- 4 avril 2016 (200$),2016,,paire de billets pour le canadien de mtl- 4 avril 2016 (200$),0.0
PRODUCTIONS MICHELINE SARRAZIN,2016-06-11,0.0,,2 billets Fred Pellerin / 130 $,2016,,2 billets fred pellerin / 130 $,0.0
RESTAURANT LE FOUGASSE,2016-06-11,0.0,,,2016,,,0.0
SALVAIL ET CO,2016-06-11,0.0,,4 participation - enregistrement En mode Salvail,2016,,4 participation - enregistrement en mode salvail,0.0
,2016-06-11,0.0,,Tricoteuse,2016,,tricoteuse,0.0
SPORTS EXPERTS,2016-06-11,0.0,,Vélo pour enfant (150$),2016,,vélo pour enfant (150$),0.0
THEATRE DU CHENAL DU MOINE,2016-06-11,0.0,,2 billets/Simon Leblanc et 2 billets/Bébé à bord (130$),2016,,2 billets/simon leblanc et 2 billets/bébé à bord (130$),0.0
TRICOT NATHY,2016-06-11,0.0,,3 tuques + cols (90$,2016,,3 tuques + cols (90$,0.0
